SVAD_identifier,agey,spheno_occipital,C1_lipping,C1_eburnation,L1_spinous_process,L1_sup_epiph,L1_sup_surf,L1_inf_epiph,L1_inf_surf,L5_sup_margin,L5_inf_margin,L5_sup_epiph,L5_sup_surf,L5_inf_epiph,L5_inf_surf,cerv_lipping,cerv_candlewax,thoracic_lipping,thoracic_candlewax,lumbar_lipping,lumbar_candlewax,S1_margin,S12_fusion,sacral_elbow,sternum_dorsal_ridge,R2_rim_profile,R2_shingle,R310_rim_profile,R310_shingle,Hum_LW,Tib_LW,Calc_LW,Inno_LW,parietal_depression,occipital_condyle,R1_Fusion,R2_cap,clav_med_epiph,clav_med_gravel,clav_med_macro,clav_lat_macro,glenoid_fossa,glenoid_lipping,lesser_tubercle_bumps,lesser_tubercle_margin,humerus_greater_tubercle,med_epicondyle,lat_epicondyle,radius_tuberosity_ridge,ulna_exostoses,trapezium_lipping,fovea_margin,fem_head_surf,troch_fossa_exost,troch_med_surf_exost,fibula_mercury_wings,SI_fusion,iliac_crest_fusion,ilium_tuberculum,ant_inf_spine_exos,acet_post_margin,acet_post_surf,acet_end_lipping,ischium_tub_margin_spur,Ischium_medial_spur,ischium_tub_bumps,inferior_surf_porosity,sup_post_iliac_exos,inf_post_iliac_exos,post_exost_complete,pubic_collar,symph_relief,sup_apex,ventral_margin,dorsal_margin,troch_lat_surf,rand_num
2232,86,1,0,0,2,3,1,3,NA,2,2,3,NA,3,1,1,0,1,1,1,1,NA,2,0,NA,1,0,1,0,0,1,1,1,0,0,NA,0,3,1,1,1,2,2,1,2,1,1,0,0,0,0,1,NA,1,1,0,0,3,0,1,1,0,0,0,0,2,0,1,NA,1,0,1,2,2,3,2,0.595
2233,62,1,0,0,2,3,1,3,1,2,2,3,1,3,1,0,0,1,0,1,1,2,2,0,0,NA,0,1,0,1,1,1,1,0,0,0,NA,3,1,0,1,2,2,1,2,1,1,1,0,1,0,1,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,1,1,1,0,2,2,2,2,2,0.855
2234,58,1,1,0,2,3,1,3,1,2,2,3,1,3,1,1,0,1,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,3,2,0,0.118
2235,70,1,0,0,2,3,1,3,1,2,1,3,1,3,1,1,1,0,1,1,1,NA,2,0,NA,NA,0,1,0,0,0,0,0,0,0,0,1,3,1,0,1,2,2,0,2,1,0,0,0,0,0,1,2,0,1,0,0,3,0,1,1,0,0,0,0,2,0,1,1,1,0,1,2,3,2,1,0.224
2236,45,1,1,0,2,3,1,3,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,1,1,0,NA,NA,0,0,0,0,1,1,0,0,0,0,3,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,1,1,0,1,2,1,2,0,0.454
2237,83,1,1,0,2,3,1,3,1,2,2,3,2,3,1,1,1,1,1,1,1,2,2,0,0,NA,NA,1,1,0,0,1,0,NA,0,0,0,3,1,1,NA,2,2,1,2,0,1,1,0,0,1,1,0,1,1,0,0,3,0,0,1,0,1,0,0,1,0,1,NA,NA,0,2,2,3,2,3,0.352
2238,83,1,1,0,2,3,1,3,1,2,2,3,1,3,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,0,0,1,0,NA,0,0,1,3,1,1,NA,2,2,1,2,0,1,1,0,0,1,1,0,1,1,0,0,3,0,0,1,0,1,0,0,1,0,1,NA,NA,0,2,2,3,2,3,0.761
2239,83,1,1,1,2,3,1,3,1,2,2,3,1,3,1,1,0,1,1,1,0,2,2,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,1,2,NA,1,1,0,1,1,1,2,1,1,NA,0,3,0,1,1,0,0,0,0,1,1,1,1,NA,0,2,2,3,3,2,0.992
2240,25,1,0,0,0,3,1,3,1,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0.297
2241,34,1,0,0,2,3,1,3,1,2,0,3,1,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,2,2,0,0.669
